target,message,message_len,message_clean,target_encoded
ham,"Go until jurong point, crazy.. Available only in bugis n great world la e buffet... Cine there got amore wat...",20,go jurong point crazi avail bugi n great world la e buffet cine got amor wat,0
ham,Ok lar... Joking wif u oni...,6,ok lar joke wif oni,0
spam,Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075over18's,28,free entri wkli comp win fa cup final tkts may text fa receiv entri questionstd txt ratetc appli,1
ham,U dun say so early hor... U c already then say...,11,dun say ear hor alreadi say,0
ham,"Nah I don't think he goes to usf, he lives around here though",13,nah dont think goe usf live around though,0
spam,"FreeMsg Hey there darling it's been 3 week's now and no word back! I'd like some fun you up for it still? Tb ok! XxX std chgs to send, å£1.50 to rcv",32,freemsg hey darl week word back id like fun still tb ok xxx std chgs send å£ rcv,1
ham,Even my brother is not like to speak with me. They treat me like aids patent.,16,even brother like speak treat like aid patent,0
ham,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,26,per request mell mell oru minnaminungint nurungu vettam set callertun caller press copi friend callertun,0
spam,WINNER!! As a valued network customer you have been selected to receivea å£900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.,26,winner valu network custom select receivea å£ prize reward claim call claim code valid hour,1
spam,Had your mobile 11 months or more? U R entitled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030,29,mobil month r entitl updat latest colour mobil camera free call mobil updat co free,1
ham,"I'm gonna be home soon and i don't want to talk about this stuff anymore tonight, k? I've cried enough today.",21,gonna home soon dont want talk stuff anymor tonight k ive cri enough today,0
spam,"SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575. Cost 150p/day, 6days, 16+ TsandCs apply Reply HL 4 info",26,six chanc win cash pound txt send cost tsandc appli repli hl info,1
spam,"URGENT! You have won a 1 week FREE membership in our å£100,000 Prize Jackpot! Txt the word: CLAIM to No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18",26,urgent week free membership å£ prize jackpot txt word claim tc lccltd pobox,1
ham,I've been searching for the right words to thank you for this breather. I promise i wont take your help for granted and will fulfil my promise. You have been wonderful and a blessing at all times.,37,ive search right word thank breather promi wont take help grant fulfil promi wonder bless time,0
ham,I HAVE A DATE ON SUNDAY WITH WILL!!,8,date sunday,0
spam,"XXXMobileMovieClub: To use your credit, click the WAP link in the next txt message or click here>> http://wap. xxxmobilemovieclub.com?n=QJKGIGHJJGCBL",19,xxxmobilemovieclub use credit click wap link next txt messag click xxxmobilemovieclubcomnqjkgighjjgcbl,1
ham,Oh k...i'm watching here:),4,oh kim watch,0
ham,Eh u remember how 2 spell his name... Yes i did. He v naughty make until i v wet.,19,eh rememb spell name yes v naughti make v wet,0
ham,Fine if thatåÕs the way u feel. ThatåÕs the way its gota b,13,fine thatåõ way feel thatåõ way gota b,0
spam,"England v Macedonia - dont miss the goals/team news. Txt ur national team to 87077 eg ENGLAND to 87077 Try:WALES, SCOTLAND 4txt/Ì¼1.20 POBOXox36504W45WQ 16+",24,england v macedonia dont miss goalsteam news txt ur nation team eg england trywal scotland,1
ham,Is that seriously how you spell his name?,8,serious spell name,0
ham,IÛ÷m going to try for 2 months ha ha only joking,11,iû÷m go tri month ha ha joke,0
ham,So Ì_ pay first lar... Then when is da stock comin...,11,ì pay first lar da stock comin,0
ham,Aft i finish my lunch then i go str down lor. Ard 3 smth lor. U finish ur lunch already?,20,aft finish lunch go str lor ard smth lor finish ur lunch alreadi,0
ham,Ffffffffff. Alright no way I can meet up with you sooner?,11,ffffffffff alright way meet sooner,0
ham,Just forced myself to eat a slice. I'm really not hungry tho. This sucks. Mark is getting worried. He knows I'm sick when I turn down pizza. Lol,28,forc eat slice realli hungri tho suck mark get worri know sick turn pizza lol,0
ham,Lol your always so convincing.,5,lol alway convinc,0
ham,Did you catch the bus ? Are you frying an egg ? Did you make a tea? Are you eating your mom's left over dinner ? Do you feel my Love ?,32,catch bus fri egg make tea eat mom left dinner feel love,0
ham,"I'm back &amp; we're packing the car now, I'll let you know if there's room",15,back amp pack car ill let know room,0
ham,Ahhh. Work. I vaguely remember that! What does it feel like? Lol,12,ahhh work vagu rememb feel like lol,0
ham,"Wait that's still not all that clear, were you not sure about me being sarcastic or that that's why x doesn't want to live with us",26,wait still clear sure sarcast x doesnt want live us,0
ham,Yeah he got in at 2 and was v apologetic. n had fallen out and she was actin like spoilt child and he got caught up in that. Till 2! But we won't go there! Not doing too badly cheers. You? ,42,yeah got v apologet n fallen actin like spoilt child got caught till wont go bad cheer,0
ham,K tell me anything about you.,6,k tell anyth,0
ham,For fear of fainting with the of all that housework you just did? Quick have a cuppa,17,fear faint housework quick cuppa,0
spam,Thanks for your subscription to Ringtone UK your mobile will be charged å£5/month Please confirm by replying YES or NO. If you reply NO you will not be charged,29,thank subscript rington uk mobil charg å£ plea confirm repli yes repli charg,1
ham,Yup... Ok i go home look at the timings then i msg Ì_ again... Xuhui going to learn on 2nd may too but her lesson is at 8am,28,yup ok go home look time msg ì xuhui go learn may lesson,0
ham,"Oops, I'll let you know when my roommate's done",9,oop ill let know roommat done,0
ham,I see the letter B on my car,8,see letter b car,0
